,price,action,status,net_anchor_price,end_trade_price,group_number
88,17266.137380458604,sell,complited,20764.52500535599,17266.137380458604,0
89,16645.53205764083,sell,complited,20764.52500535599,16645.53205764083,1
90,16047.23345914842,sell,complited,20764.52500535599,16047.23345914842,1
91,11892.365670125992,buy,complited,20764.52500535599,11892.365670125992,2
92,11231.907495578558,buy,complited,20764.52500535599,11231.907495578558,2
93,10608.128734734513,buy,complited,20764.52500535599,10608.128734734513,2
94,10018.992348093898,buy,complited,20764.52500535599,10018.992348093898,2
95,15470.439803346842,sell,complited,20764.52500535599,15470.439803346842,1
96,14914.378127435746,sell,complited,20764.52500535599,14914.378127435746,1
97,14378.303251599344,sell,complited,20764.52500535599,14378.303251599344,1
98,13861.496780388836,sell,complited,20764.52500535599,13861.496780388836,1
99,12368.060296931031,sell,complited,20764.52500535599,12368.060296931031,2
100,11681.183795401701,sell,complited,20764.52500535599,11681.183795401701,2
101,11032.453884123894,sell,complited,20764.52500535599,11032.453884123894,2
102,15987.714454682617,buy,complited,20764.52500535599,15987.714454682617,1
103,15396.106735760575,buy,complited,20764.52500535599,15396.106735760575,1
104,14826.390807192947,buy,complited,20764.52500535599,14826.390807192947,1
105,14277.756587451731,buy,complited,20764.52500535599,14277.756587451731,1
106,13749.423971181337,buy,complited,20764.52500535599,13749.423971181337,1
107,13240.641719963422,buy,complited,20764.52500535599,13240.641719963422,1
108,16627.223032869922,sell,complited,20764.52500535599,16627.223032869922,1
109,16011.951005190998,sell,complited,20764.52500535599,16011.951005190998,1
110,15419.446439480666,sell,complited,20764.52500535599,15419.446439480666,1
111,14848.8668509498,sell,complited,20764.52500535599,14848.8668509498,1
112,14299.40093002859,sell,complited,20764.52500535599,14299.40093002859,1
113,13770.267388761959,sell,complited,20764.52500535599,13770.267388761959,1
114,10419.752042017653,sell,complited,20764.52500535599,10419.752042017653,2
115,11308.37480482977,buy,complited,20764.52500535599,11308.37480482977,2
116,10603.06976635911,buy,complited,20764.52500535599,10603.06976635911,2
117,9941.754709285216,buy,aborted,20764.52500535599,0.0,2
118,9321.685971847945,buy,aborted,20764.52500535599,0.0,2
119,11760.70979702296,sell,complited,20764.52500535599,11760.70979702296,2
120,11027.192557013475,sell,complited,20764.52500535599,11027.192557013475,2
121,16009.071372432514,buy,aborted,20764.52500535599,0.0,1
122,15437.267466527257,buy,aborted,20764.52500535599,0.0,1
123,14885.886963029434,buy,aborted,20764.52500535599,0.0,1
124,14354.200389192201,buy,aborted,20764.52500535599,0.0,1
125,13841.504327206958,buy,aborted,20764.52500535599,0.0,1
126,13347.120483586248,buy,aborted,20764.52500535599,0.0,1
127,20004.54339015996,buy,aborted,20764.52500535599,0.0,0
128,19272.377102080107,buy,aborted,20764.52500535599,0.0,0
129,18567.008100143976,buy,aborted,20764.52500535599,0.0,0
130,17887.455603678707,buy,aborted,20764.52500535599,0.0,0
131,17232.774728584067,buy,aborted,20764.52500535599,0.0,0
132,16602.05517351789,buy,aborted,20764.52500535599,0.0,0
133,21510.412476872163,buy,aborted,22327.602737048124,0.0,0
134,20723.13138021864,buy,aborted,22327.602737048124,0.0,0
135,19964.66477170264,buy,aborted,22327.602737048124,0.0,0
136,19233.958041058322,buy,aborted,22327.602737048124,0.0,0
137,18529.995176755587,buy,aborted,22327.602737048124,0.0,0
138,17851.797353286333,buy,aborted,22327.602737048124,0.0,0
139,37693.58679589796,buy,complited,39125.583138777205,37693.58679589796,0
140,36314.001519168094,buy,complited,39125.583138777205,36314.001519168094,0
141,34984.90906356654,buy,complited,39125.583138777205,34984.90906356654,0
142,33704.46139184001,buy,complited,39125.583138777205,33704.46139184001,0
143,32470.878104898664,buy,complited,39125.583138777205,32470.878104898664,0
144,31282.443966259372,buy,complited,39125.583138777205,31282.443966259372,0
145,39201.33026773388,sell,complited,39125.583138777205,39201.33026773388,0
146,37766.561579934816,sell,complited,39125.583138777205,37766.561579934816,0
147,36384.305426109204,sell,complited,39125.583138777205,36384.305426109204,0
148,35052.63984751361,sell,complited,39125.583138777205,35052.63984751361,0
149,33769.71322909461,sell,complited,39125.583138777205,33769.71322909461,0
150,32533.74172490975,sell,complited,39125.583138777205,32533.74172490975,0
151,29907.48500409472,buy,complited,39125.583138777205,29907.48500409472,1
152,28592.959688024857,buy,complited,39125.583138777205,28592.959688024857,1
153,27336.211774713935,buy,complited,39125.583138777205,27336.211774713935,1
154,26134.70177083401,buy,complited,39125.583138777205,26134.70177083401,1
155,24986.001801545597,buy,complited,39125.583138777205,24986.001801545597,1
156,23887.790704524163,buy,complited,39125.583138777205,23887.790704524163,1
157,37693.58679589796,buy,complited,39125.583138777205,37693.58679589796,0
158,36314.001519168094,buy,complited,39125.583138777205,36314.001519168094,0
159,34984.90906356654,buy,complited,39125.583138777205,34984.90906356654,0
160,33704.46139184001,buy,complited,39125.583138777205,33704.46139184001,0
161,32470.878104898664,buy,complited,39125.583138777205,32470.878104898664,0
162,31282.443966259372,buy,complited,39125.583138777205,31282.443966259372,0
163,39201.33026773388,sell,aborted,39125.583138777205,10770.089294247731,0
164,37766.561579934816,sell,aborted,39125.583138777205,10770.089294247731,0
165,36384.305426109204,sell,aborted,39125.583138777205,10770.089294247731,0
166,35052.63984751361,sell,aborted,39125.583138777205,10770.089294247731,0
167,33769.71322909461,sell,complited,39125.583138777205,33769.71322909461,0
168,32533.74172490975,sell,complited,39125.583138777205,32533.74172490975,0
169,31103.78440425851,sell,complited,39125.583138777205,31103.78440425851,1
170,29736.678075545853,sell,aborted,39125.583138777205,10770.089294247731,1
171,22166.473239225063,buy,complited,39125.583138777205,22166.473239225063,2
172,20902.706948881423,buy,complited,39125.583138777205,20902.706948881423,2
173,19710.9911475521,buy,complited,39125.583138777205,19710.9911475521,2
174,18587.21805596899,buy,complited,39125.583138777205,18587.21805596899,2
175,28429.660245702493,sell,complited,39125.583138777205,28429.660245702493,1
176,27180.08984166737,sell,complited,39125.583138777205,27180.08984166737,1
177,25985.441873607422,sell,complited,39125.583138777205,25985.441873607422,1
178,24843.30233270513,sell,complited,39125.583138777205,24843.30233270513,1
179,23053.132168794065,sell,complited,39125.583138777205,23053.132168794065,2
180,21738.81522683668,sell,complited,39125.583138777205,21738.81522683668,2
181,20499.430793454187,sell,complited,39125.583138777205,20499.430793454187,2
182,19330.70677820775,sell,complited,39125.583138777205,19330.70677820775,2
183,22043.991873669813,buy,complited,39125.583138777205,22043.991873669813,2
184,20770.604233604667,buy,complited,39125.583138777205,20770.604233604667,2
185,19570.77478078452,buy,complited,39125.583138777205,19570.77478078452,2
186,18440.254371633193,buy,complited,39125.583138777205,18440.254371633193,2
187,22925.751548616605,sell,complited,39125.583138777205,22925.751548616605,2
188,21601.428402948855,sell,complited,39125.583138777205,21601.428402948855,2
189,20353.6057720159,sell,complited,39125.583138777205,20353.6057720159,2
190,19177.86454649852,sell,aborted,39125.583138777205,10770.089294247731,2
